"season"|"player"|"team"|"dob"|"height.cm"|"position"
"2014"|"Joaquim Abranches"|"FC Pune City"|"28/10/1985"|NA|"FW"
"2014"|"Ishfaq Ahmed"|"Kerala Blasters"|"17/03/1983"|NA|"MF"
"2014"|"Anwar Ali"|"Delhi Dynamos FC"|"24/09/1984"|"189"|"DF"
"2014"|"Zohib Amiri"|"FC Goa"|"02/05/1987"|"176"|"DF"
"2014"|"Zohib Amiri"|"FC Goa"|"15/02/1990"|"177"|"DF"
"2014"|"André Moritz"|"Mumbai City FC"|"06/08/1986"|"187"|"MF"
"2014"|"André Santos"|"FC Goa"|"08/03/1983"|"180"|"DF"
"2014"|"Nicolas Anelka"|"Mumbai City FC"|"14/03/1979"|"183"|"FW"
"2014"|"Arnal"|"ATK"|"21/11/1980"|"174"|"FW"
"2014"|"Gregory Arnolin"|"FC Goa"|"10/11/1980"|"187"|"DF"
"2014"|"Avinabo Bag"|"Kerala Blasters"|"08/09/1989"|NA|"DF"
"2014"|"Anthony Barbosa"|"Chennaiyin FC"|"13/06/1989"|"175"|"FW"
"2014"|"Andrew Barišic"|"Kerala Blasters"|"22/03/1986"|"187"|"FW"
"2014"|"Luis Barreto"|"Kerala Blasters"|"14/10/1980"|NA|"GK"
"2014"|"Basilio"|"ATK"|"02/01/1984"|"189"|"GK"
"2014"|"Emanuele Belardi"|"FC Pune City"|"09/10/1977"|"187"|"GK"
"2014"|"Youness Bengelloun"|"FC Goa"|"03/01/1983"|"183"|"DF"
"2014"|"Leo Bertos"|"NorthEast United FC"|"20/12/1981"|"177"|"MF"
"2014"|"Manish Bhargav"|"Delhi Dynamos FC"|"22/02/1994"|"168"|"MF"
"2014"|"Arindam Bhattacharya"|"FC Pune City"|"11/12/1989"|"188"|"GK"
"2014"|"Kunzang Bhutia"|"NorthEast United FC"|"03/01/1994"|"186"|"GK"
"2014"|"Nadong Bhutia"|"Mumbai City FC"|"25/11/1993"|"180"|"FW"
"2014"|"Borja"|"ATK"|"14/01/1981"|"188"|"MF"
"2014"|"Durga Boro"|"NorthEast United FC"|"28/06/1987"|"173"|"FW"
"2014"|"Gennaro Bracigliano"|"Chennaiyin FC"|"01/03/1980"|"183"|"GK"
"2014"|"Bruno"|"Delhi Dynamos FC"|"13/02/1985"|"176"|"MF"
"2014"|"Bruno Pelissari"|"Chennaiyin FC"|"03/01/1993"|"181"|"MF"
"2014"|"Bruno Pinheiro"|"FC Goa"|"21/08/1987"|"185"|"FW"
"2014"|"Capdevila"|"NorthEast United FC"|"03/02/1978"|"182"|"DF"
"2014"|"Peter Carvalho"|"FC Goa"|"18/12/1981"|NA|"MF"
"2014"|"Marek Cech"|"Delhi Dynamos FC"|"08/04/1976"|"195"|"GK"
"2014"|"Gurpreet Chabal"|"FC Goa"|"01/02/1993"|NA|"GK"
"2014"|"Souvik Chakraborty"|"Delhi Dynamos FC"|"12/07/1987"|"172"|"MF"
"2014"|"Isaac Chansa"|"NorthEast United FC"|"23/03/1984"|"173"|"MF"
"2014"|"Nirmal Chettri"|"Kerala Blasters"|"21/10/1990"|"175"|"DF"
"2014"|"Michael Chopra"|"Kerala Blasters"|"23/12/1983"|"175"|"FW"
"2014"|"Subhashish Chowdhury"|"ATK"|"27/09/1986"|"186"|"GK"
"2014"|"Bruno Cirillo"|"FC Pune City"|"21/03/1977"|"187"|"DF"
"2014"|"Pavel Cmovš"|"Mumbai City FC"|"29/06/1990"|"189"|"DF"
"2014"|"Davide Colomba"|"FC Pune City"|"19/07/1988"|NA|"MF"
"2014"|"Peter Costa"|"Mumbai City FC"|"05/08/1984"|NA|"DF"
"2014"|"Cristian"|"Chennaiyin FC"|"21/09/1983"|"177"|"FW"
"2014"|"Koffi Dan Kowa"|"FC Goa"|"19/09/1989"|"180"|"DF"
"2014"|"Abhishek Das"|"Chennaiyin FC"|"15/09/1993"|"170"|"DF"
"2014"|"Narayan Das"|"FC Goa"|"25/09/1993"|"178"|"MF"
"2014"|"Prabir Das"|"FC Goa"|"20/12/1993"|"172"|"DF"
"2014"|"Arnab Das Sharma"|"Mumbai City FC"|"11/12/1987"|"183"|"GK"
"2014"|"Ishan Debnath"|"Mumbai City FC"|"07/06/1991"|"178"|"GK"
"2014"|"Kingshuk Debnath"|"ATK"|"08/05/1985"|NA|"DF"
"2014"|"Alessandro Del Piero"|"Delhi Dynamos FC"|"09/11/1974"|"173"|"FW"
"2014"|"Alen Deory"|"NorthEast United FC"|"12/01/1996"|"177"|"FW"
"2014"|"Mandar Dessai"|"FC Goa"|"18/03/1992"|"171"|"MF"
"2014"|"Denson Devadas"|"Chennaiyin FC"|"20/12/1982"|"178"|"MF"
"2014"|"Deepak Devrani"|"FC Pune City"|"10/12/1992"|"180"|"DF"
"2014"|"Saumik Dey"|"Kerala Blasters"|"20/08/1984"|"178"|"DF"
"2014"|"Steven Dias"|"Delhi Dynamos FC"|"25/12/1983"|"173"|"MF"
"2014"|"Dinis"|"Delhi Dynamos FC"|"21/01/1990"|"183"|"MF"
"2014"|"Eric Djemba-Djemba"|"Chennaiyin FC"|"04/05/1981"|"174"|"MF"
"2014"|"Bojan Djordjic"|"Chennaiyin FC"|"06/02/1982"|"178"|"MF"
"2014"|"Dong-Hyun Do"|"NorthEast United FC"|"19/11/1993"|"173"|"FW"
"2014"|"Seiminlen Doungel"|"NorthEast United FC"|"03/01/1994"|"172"|"FW"
"2014"|"Apoula Edel"|"ATK"|"17/06/1986"|"184"|"GK"
"2014"|"Edgar Marcelino"|"FC Goa"|"10/09/1984"|"170"|"MF"
"2014"|"Elano"|"Chennaiyin FC"|"14/06/1981"|"174"|"MF"
"2014"|"Pavel Eliáš"|"Delhi Dynamos FC"|"26/11/1986"|"183"|"MF"
"2014"|"Erwin Spitzner"|"Kerala Blasters"|"29/04/1994"|"185"|"MF"
"2014"|"Colin Falvey"|"Kerala Blasters"|"20/06/1985"|"185"|"DF"
"2014"|"Lalrin Fela"|"Mumbai City FC"|"24/09/1990"|"168"|"MF"
"2014"|"Francis Fernandes"|"Delhi Dynamos FC"|"25/11/1985"|"167"|"MF"
"2014"|"Gabriel Fernandes"|"FC Goa"|"22/04/1988"|"167"|"FW"
"2014"|"Romeo Fernandes"|"FC Goa"|"06/07/1992"|"168"|"MF"
"2014"|"Lester Fernandez"|"ATK"|"06/12/1986"|NA|"MF"
"2014"|"Denzil Franco"|"ATK"|"30/06/1986"|"177"|"DF"
"2014"|"Godwin Franco"|"Kerala Blasters"|"16/02/1985"|NA|"MF"
"2014"|"Francesco Franzese"|"Chennaiyin FC"|"08/09/1981"|NA|"GK"
"2014"|"Manuel Friedrich"|"Mumbai City FC"|"13/09/1979"|"189"|"DF"
"2014"|"Raju Gaikwad"|"Mumbai City FC"|"25/09/1990"|"180"|"DF"
"2014"|"Alwyn George"|"FC Goa"|"03/01/1992"|"173"|"MF"
"2014"|"Shouvik Ghosh"|"Delhi Dynamos FC"|"05/11/1992"|"181"|"DF"
"2014"|"Cornell Glenn"|"NorthEast United FC"|"21/10/1980"|"176"|"FW"
"2014"|"Milagres Gonsalves"|"Kerala Blasters"|"24/01/1987"|"186"|"FW"
"2014"|"Andrés González"|"FC Pune City"|"08/01/1984"|"188"|"DF"
"2014"|"John Goossens"|"FC Pune City"|"25/07/1988"|"176"|"MF"
"2014"|"Guilherme Batata"|"NorthEast United FC"|"02/05/1992"|"175"|"MF"
"2014"|"Israil Gurung"|"FC Pune City"|"02/04/1989"|"173"|"FW"
"2014"|"Robin Gurung"|"NorthEast United FC"|"26/10/1992"|"172"|"DF"
"2014"|"Gustavo Santos"|"Delhi Dynamos FC"|"08/03/1994"|"179"|"FW"
"2014"|"Boithang Haokip"|"NorthEast United FC"|"09/03/1991"|"178"|"MF"
"2014"|"Cédric Hengbart"|"Kerala Blasters"|"13/07/1980"|"183"|"DF"
"2014"|"Mehtab Hossain"|"Kerala Blasters"|"13/10/1981"|"171"|"MF"
"2014"|"Stijn Houben"|"Delhi Dynamos FC"|"05/04/1995"|NA|"DF"
"2014"|"Iain Hume"|"Kerala Blasters"|"30/10/1983"|"170"|"FW"
"2014"|"Mamunul Islam"|"ATK"|"12/12/1988"|"167"|"MF"
"2014"|"Ivan Bolado"|"FC Pune City"|"03/07/1989"|"180"|"FW"
"2014"|"David James"|"Kerala Blasters"|"01/08/1970"|"194"|"GK"
"2014"|"Javi Fernández"|"Mumbai City FC"|"22/02/1988"|"171"|"MF"
"2014"|"Sandesh Jhingan"|"Kerala Blasters"|"21/07/1993"|"188"|"DF"
"2014"|"Jofre"|"ATK"|"24/01/1980"|"171"|"MF"
"2014"|"Josemi"|"ATK"|"15/11/1979"|"183"|"DF"
"2014"|"Tomáš Josl"|"NorthEast United FC"|"12/11/1984"|"177"|"MF"
"2014"|"Mads Junker"|"Delhi Dynamos FC"|"21/04/1981"|"185"|"FW"
"2014"|"Kostas Katsouranis"|"FC Pune City"|"21/06/1979"|"183"|"MF"
"2014"|"Laxmikant Kattimani"|"FC Goa"|"03/05/1989"|"183"|"GK"
"2014"|"James Keene"|"NorthEast United FC"|"26/12/1985"|"180"|"FW"
"2014"|"Harmanjot Khabra"|"Chennaiyin FC"|"18/12/1988"|"181"|"MF"
"2014"|"Adil Khan"|"Delhi Dynamos FC"|"07/07/1988"|"177"|"MF"
"2014"|"Aibor Khongjee"|"NorthEast United FC"|"09/12/1987"|"180"|"DF"
"2014"|"Koke"|"NorthEast United FC"|"27/04/1983"|"179"|"FW"
"2014"|"Pritam Kotal"|"FC Pune City"|"08/09/1993"|"176"|"DF"
"2014"|"Asif Kottayil"|"Mumbai City FC"|"24/05/1985"|"176"|"MF"
"2014"|"Jeje Lalpekhlua"|"Chennaiyin FC"|"07/01/1991"|"173"|"FW"
"2014"|"Robert Lalthlamuana"|"Delhi Dynamos FC"|"04/09/1988"|"171"|"DF"
"2014"|"Climax Lawrence"|"ATK"|"16/01/1979"|"178"|"MF"
"2014"|"Johann Letzelter"|"Mumbai City FC"|"19/09/1984"|"177"|"DF"
"2014"|"Freddie Ljungberg"|"Mumbai City FC"|"16/04/1977"|"176"|"MF"
"2014"|"Cavin Lobo"|"ATK"|"04/04/1988"|"170"|"MF"
"2014"|"Munmun Lugun"|"Delhi Dynamos FC"|"05/05/1993"|"176"|"DF"
"2014"|"Luis García"|"ATK"|"24/06/1978"|"176"|"MF"
"2014"|"Daniele Magliocchetti"|"FC Pune City"|"11/05/1986"|"177"|"DF"
"2014"|"Manish Maithani"|"FC Pune City"|"05/11/1987"|NA|"MF"
"2014"|"Tapan Maity"|"FC Pune City"|"12/09/1984"|"170"|"MF"
"2014"|"Ram Malik"|"Mumbai City FC"|"10/03/1991"|NA|"MF"
"2014"|"Shylo Malsawmtluanga"|"Delhi Dynamos FC"|"24/10/1984"|NA|"MF"
"2014"|"Ranty Martins"|"FC Goa"|"05/09/1986"|"181"|"FW"
"2014"|"Rakesh Masih"|"ATK"|"18/03/1987"|"186"|"MF"
"2014"|"Marco Materazzi"|"Chennaiyin FC"|"19/08/1973"|"193"|"DF"
"2014"|"Sushanth Mathew"|"Kerala Blasters"|"18/05/1978"|"174"|"DF"
"2014"|"Jean-Eudes Maurice"|"Chennaiyin FC"|"21/06/1986"|"180"|"FW"
"2014"|"Jamie McAllister"|"Kerala Blasters"|"26/04/1978"|"180"|"DF"
"2014"|"Ashutosh Mehta"|"FC Pune City"|"21/02/1991"|"176"|"MF"
"2014"|"John Mendoza"|"Chennaiyin FC"|"27/06/1992"|"172"|"FW"
"2014"|"Bernard Mendy"|"Chennaiyin FC"|"20/08/1981"|"180"|"DF"
"2014"|"Miguel García"|"NorthEast United FC"|"04/02/1983"|"179"|"DF"
"2014"|"Miguel Herlein"|"FC Goa"|"11/02/1993"|"181"|"FW"
"2014"|"Clifford Miranda"|"FC Goa"|"11/07/1982"|"172"|"MF"
"2014"|"Rohit Mirza"|"Mumbai City FC"|"15/08/1991"|"176"|"MF"
"2014"|"Nallappan Mohanraj"|"ATK"|"23/02/1989"|NA|"DF"
"2014"|"Abhijit Mondal"|"Chennaiyin FC"|"01/10/1982"|"176"|"GK"
"2014"|"Arnab Mondal"|"ATK"|"25/09/1989"|"179"|"DF"
"2014"|"Deepak Mondal"|"Mumbai City FC"|"13/10/1979"|"173"|"DF"
"2014"|"Sylvain Monsoreau"|"ATK"|"23/01/1981"|"186"|"DF"
"2014"|"Kondwani Mtonga"|"NorthEast United FC"|"12/02/1984"|"178"|"MF"
"2014"|"Hans Mulder"|"Delhi Dynamos FC"|"27/04/1987"|"180"|"MF"
"2014"|"Syed Nabi"|"Mumbai City FC"|"14/12/1985"|"170"|"DF"
"2014"|"Diego Nadaya"|"Mumbai City FC"|"15/09/1989"|"177"|"FW"
"2014"|"Sandip Nandy"|"Kerala Blasters"|"15/01/1975"|"177"|"GK"
"2014"|"Holicharan Narzary"|"FC Goa"|"10/05/1994"|"174"|"FW"
"2014"|"Ofentse Nato"|"ATK"|"01/10/1989"|"183"|"MF"
"2014"|"Alessandro Nesta"|"Chennaiyin FC"|"19/03/1976"|"187"|"DF"
"2014"|"David Ngaihte"|"NorthEast United FC"|"16/12/1989"|"170"|"MF"
"2014"|"Dudu Omangbemi"|"FC Pune City"|"18/07/1985"|"179"|"FW"
"2014"|"Penn Orji"|"Kerala Blasters"|"04/04/1991"|"173"|"MF"
"2014"|"Tolgay Özbey"|"FC Goa"|"12/04/1986"|"177"|"FW"
"2014"|"Shilton Pal"|"Chennaiyin FC"|"10/06/1988"|NA|"GK"
"2014"|"Subrata Pal"|"Mumbai City FC"|"24/12/1986"|"183"|"GK"
"2014"|"Saïdou Panandétiguiri"|"FC Pune City"|"22/03/1984"|"180"|"DF"
"2014"|"Rehenesh Paramba"|"NorthEast United FC"|"13/02/1993"|"178"|"GK"
"2014"|"Gwang-il Park"|"FC Pune City"|"10/02/1991"|"173"|"MF"
"2014"|"Stephen Pearson"|"Kerala Blasters"|"02/10/1982"|"183"|"MF"
"2014"|"Pedro Gusmão"|"Kerala Blasters"|"04/06/1992"|"177"|"FW"
"2014"|"Jermaine Pennant"|"FC Pune City"|"15/01/1983"|"173"|"MF"
"2014"|"Dane Pereira"|"Chennaiyin FC"|"13/10/1985"|"185"|"DF"
"2014"|"Robert Pirés"|"FC Goa"|"29/10/1973"|"185"|"MF"
"2014"|"Jakub Podaný"|"ATK"|"15/06/1987"|"184"|"MF"
"2014"|"Ilias Pollalis"|"Mumbai City FC"|"19/11/1992"|NA|"DF"
"2014"|"Pappachan Pradeep"|"Chennaiyin FC"|"28/04/1983"|"173"|"MF"
"2014"|"Sanju Pradhan"|"ATK"|"15/08/1989"|"168"|"MF"
"2014"|"Preto"|"Mumbai City FC"|"18/04/1993"|"180"|"GK"
"2014"|"Pulga"|"Kerala Blasters"|"06/11/1985"|"179"|"MF"
"2014"|"Mohammed Rafi"|"ATK"|"24/05/1982"|"179"|"FW"
"2014"|"Mohammed Rafique"|"ATK"|"20/09/1992"|"173"|"FW"
"2014"|"Jewel Raja"|"FC Goa"|"18/01/1990"|"172"|"FW"
"2014"|"Lalrindika Ralte"|"Mumbai City FC"|"07/09/1992"|"173"|"MF"
"2014"|"Zodingliana Ralte"|"NorthEast United FC"|"05/05/1995"|"175"|"MF"
"2014"|"Zohmingliana Ralte"|"NorthEast United FC"|"02/10/1987"|"178"|"DF"
"2014"|"Jayesh Rane"|"Chennaiyin FC"|"20/02/1993"|"175"|"FW"
"2014"|"Dharmaraj Ravanan"|"FC Pune City"|"29/07/1987"|"181"|"DF"
"2014"|"Wim Raymaekers"|"Delhi Dynamos FC"|"04/04/1985"|"186"|"DF"
"2014"|"Tiago Ribeiro"|"Mumbai City FC"|"15/06/1992"|"182"|"MF"
"2014"|"Lenny Rodrigues"|"FC Pune City"|"10/05/1987"|"185"|"MF"
"2014"|"Rowilson Rodrigues"|"FC Goa"|"26/03/1987"|"181"|"DF"
"2014"|"Omar Rodríguez"|"FC Pune City"|"04/03/1981"|"180"|"MF"
"2014"|"Raphael Romey"|"Kerala Blasters"|"26/02/1981"|"186"|"DF"
"2014"|"Debabrata Roy"|"FC Goa"|"04/11/1986"|"173"|"DF"
"2014"|"Chinadorai Sabeeth"|"Kerala Blasters"|"02/12/1990"|"178"|"FW"
"2014"|"Biswajit Saha"|"ATK"|"15/12/1987"|NA|"DF"
"2014"|"Baljit Sahni"|"ATK"|"12/01/1987"|NA|"MF"
"2014"|"Massamba Sambou"|"NorthEast United FC"|"17/09/1986"|"188"|"DF"
"2014"|"Safar Sardar"|"Chennaiyin FC"|"12/03/1988"|NA|"DF"
"2014"|"Anupam Sarkar"|"FC Pune City"|"06/12/1985"|"173"|"DF"
"2014"|"Jan Šeda"|"FC Goa"|"17/12/1985"|"189"|"GK"
"2014"|"Pratik Shinde"|"FC Pune City"|NA|"169"|"MF"
"2014"|"Mikaël Silvestre"|"Chennaiyin FC"|"09/08/1977"|"184"|"DF"
"2014"|"Balwant Singh"|"Chennaiyin FC"|"15/12/1986"|"180"|"FW"
"2014"|"Bikramjit Singh"|"FC Goa"|"15/10/1992"|"171"|"MF"
"2014"|"Dhanachandra Singh"|"Chennaiyin FC"|"04/03/1987"|NA|"DF"
"2014"|"Gouramangi Singh"|"Chennaiyin FC"|"25/01/1985"|"186"|"DF"
"2014"|"Gurwinder Singh"|"Kerala Blasters"|"16/04/1986"|"183"|"DF"
"2014"|"Jagroop Singh"|"Delhi Dynamos FC"|"16/05/1991"|NA|"GK"
"2014"|"Jibon Singh"|"NorthEast United FC"|"06/02/1990"|"178"|"DF"
"2014"|"Khelemba Singh"|"Chennaiyin FC"|"13/04/1985"|"183"|"DF"
"2014"|"Manandeep Singh"|"Delhi Dynamos FC"|"03/11/1992"|"180"|"FW"
"2014"|"Milan Singh"|"NorthEast United FC"|"15/05/1992"|"174"|"MF"
"2014"|"Moiranthem Govin Singh"|"Delhi Dynamos FC"|"03/01/1988"|"183"|"DF"
"2014"|"Naoba Singh"|"Delhi Dynamos FC"|"06/03/1988"|NA|"DF"
"2014"|"Pritam Singh"|"NorthEast United FC"|"10/12/1995"|"174"|"DF"
"2014"|"Ramandeep Singh"|"Kerala Blasters"|"27/06/1991"|NA|"DF"
"2014"|"Renedy Singh"|"Kerala Blasters"|"20/06/1979"|"178"|"MF"
"2014"|"Singam Singh"|"Mumbai City FC"|"02/02/1990"|"175"|"FW"
"2014"|"Sukhwinder Singh"|"Chennaiyin FC"|"12/03/1983"|NA|"MF"
"2014"|"Sushil Singh"|"Mumbai City FC"|"25/06/1984"|"180"|"FW"
"2014"|"Morten Skoubo"|"Delhi Dynamos FC"|"30/06/1980"|"190"|"FW"
"2014"|"Miroslav Slepicka"|"FC Goa"|"10/11/1981"|"182"|"FW"
"2014"|"Jan Štohanzl"|"Mumbai City FC"|"20/03/1985"|"174"|"MF"
"2014"|"Jairo Suárez"|"Chennaiyin FC"|"24/03/1985"|"178"|"DF"
"2014"|"Fikru Teferra"|"ATK"|"24/01/1986"|NA|"FW"
"2014"|"Lalit Thapa"|"FC Pune City"|"20/12/1984"|NA|"GK"
"2014"|"Redeem Tlang"|"NorthEast United FC"|"22/02/1995"|"172"|"MF"
"2014"|"David Trezeguet"|"FC Pune City"|"15/10/1977"|"186"|"FW"
"2014"|"Alexandros Tzorvas"|"NorthEast United FC"|"12/08/1982"|"190"|"GK"
"2014"|"Krisztián Vadócz"|"FC Pune City"|"03/05/1985"|"188"|"MF"
"2014"|"Jaison Vales"|"Chennaiyin FC"|"04/09/1988"|NA|"MF"
"2014"|"Kristof Van Hout"|"Delhi Dynamos FC"|"09/02/1987"|"208"|"GK"
"2014"|"Mehrjajuddin Wadoo"|"FC Pune City"|"12/02/1984"|"186"|"MF"
"2014"|"Abhishek Yadav"|"Mumbai City FC"|"10/06/1980"|"185"|"FW"
"2014"|"Luis Yánez"|"NorthEast United FC"|"29/10/1982"|"178"|"FW"
"2014 playoffs"|"Ishfaq Ahmed"|"Kerala Blasters"|"17/03/1983"|NA|"MF"
"2014 playoffs"|"Zohib Amiri"|"FC Goa"|"02/05/1987"|"176"|"DF"
"2014 playoffs"|"Zohib Amiri"|"FC Goa"|"15/02/1990"|"177"|"DF"
"2014 playoffs"|"André Santos"|"FC Goa"|"08/03/1983"|"180"|"DF"
"2014 playoffs"|"Arnal"|"ATK"|"21/11/1980"|"174"|"FW"
"2014 playoffs"|"Gregory Arnolin"|"FC Goa"|"10/11/1980"|"187"|"DF"
"2014 playoffs"|"Avinabo Bag"|"Kerala Blasters"|"08/09/1989"|NA|"DF"
"2014 playoffs"|"Anthony Barbosa"|"Chennaiyin FC"|"13/06/1989"|"175"|"FW"
"2014 playoffs"|"Andrew Barišic"|"Kerala Blasters"|"22/03/1986"|"187"|"FW"
"2014 playoffs"|"Luis Barreto"|"Kerala Blasters"|"14/10/1980"|NA|"GK"
"2014 playoffs"|"Basilio"|"ATK"|"02/01/1984"|"189"|"GK"
"2014 playoffs"|"Youness Bengelloun"|"FC Goa"|"03/01/1983"|"183"|"DF"
"2014 playoffs"|"Borja"|"ATK"|"14/01/1981"|"188"|"MF"
"2014 playoffs"|"Gennaro Bracigliano"|"Chennaiyin FC"|"01/03/1980"|"183"|"GK"
"2014 playoffs"|"Bruno Pelissari"|"Chennaiyin FC"|"03/01/1993"|"181"|"MF"
"2014 playoffs"|"Bruno Pinheiro"|"FC Goa"|"21/08/1987"|"185"|"FW"
"2014 playoffs"|"Peter Carvalho"|"FC Goa"|"18/12/1981"|NA|"MF"
"2014 playoffs"|"Gurpreet Chabal"|"FC Goa"|"01/02/1993"|NA|"GK"
"2014 playoffs"|"Nirmal Chettri"|"Kerala Blasters"|"21/10/1990"|"175"|"DF"
"2014 playoffs"|"Michael Chopra"|"Kerala Blasters"|"23/12/1983"|"175"|"FW"
"2014 playoffs"|"Subhashish Chowdhury"|"ATK"|"27/09/1986"|"186"|"GK"
"2014 playoffs"|"Cristian"|"Chennaiyin FC"|"21/09/1983"|"177"|"FW"
"2014 playoffs"|"Koffi Dan Kowa"|"FC Goa"|"19/09/1989"|"180"|"DF"
"2014 playoffs"|"Abhishek Das"|"Chennaiyin FC"|"15/09/1993"|"170"|"DF"
"2014 playoffs"|"Narayan Das"|"FC Goa"|"25/09/1993"|"178"|"MF"
"2014 playoffs"|"Prabir Das"|"FC Goa"|"20/12/1993"|"172"|"DF"
"2014 playoffs"|"Kingshuk Debnath"|"ATK"|"08/05/1985"|NA|"DF"
"2014 playoffs"|"Mandar Dessai"|"FC Goa"|"18/03/1992"|"171"|"MF"
"2014 playoffs"|"Denson Devadas"|"Chennaiyin FC"|"20/12/1982"|"178"|"MF"
"2014 playoffs"|"Saumik Dey"|"Kerala Blasters"|"20/08/1984"|"178"|"DF"
"2014 playoffs"|"Eric Djemba-Djemba"|"Chennaiyin FC"|"04/05/1981"|"174"|"MF"
"2014 playoffs"|"Bojan Djordjic"|"Chennaiyin FC"|"06/02/1982"|"178"|"MF"
"2014 playoffs"|"Apoula Edel"|"ATK"|"17/06/1986"|"184"|"GK"
"2014 playoffs"|"Edgar Marcelino"|"FC Goa"|"10/09/1984"|"170"|"MF"
"2014 playoffs"|"Elano"|"Chennaiyin FC"|"14/06/1981"|"174"|"MF"
"2014 playoffs"|"Erwin Spitzner"|"Kerala Blasters"|"29/04/1994"|"185"|"MF"
"2014 playoffs"|"Colin Falvey"|"Kerala Blasters"|"20/06/1985"|"185"|"DF"
"2014 playoffs"|"Gabriel Fernandes"|"FC Goa"|"22/04/1988"|"167"|"FW"
"2014 playoffs"|"Romeo Fernandes"|"FC Goa"|"06/07/1992"|"168"|"MF"
"2014 playoffs"|"Lester Fernandez"|"ATK"|"06/12/1986"|NA|"MF"
"2014 playoffs"|"Denzil Franco"|"ATK"|"30/06/1986"|"177"|"DF"
"2014 playoffs"|"Godwin Franco"|"Kerala Blasters"|"16/02/1985"|NA|"MF"
"2014 playoffs"|"Francesco Franzese"|"Chennaiyin FC"|"08/09/1981"|NA|"GK"
"2014 playoffs"|"Alwyn George"|"FC Goa"|"03/01/1992"|"173"|"MF"
"2014 playoffs"|"Milagres Gonsalves"|"Kerala Blasters"|"24/01/1987"|"186"|"FW"
"2014 playoffs"|"Cédric Hengbart"|"Kerala Blasters"|"13/07/1980"|"183"|"DF"
"2014 playoffs"|"Mehtab Hossain"|"Kerala Blasters"|"13/10/1981"|"171"|"MF"
"2014 playoffs"|"Iain Hume"|"Kerala Blasters"|"30/10/1983"|"170"|"FW"
"2014 playoffs"|"Mamunul Islam"|"ATK"|"12/12/1988"|"167"|"MF"
"2014 playoffs"|"David James"|"Kerala Blasters"|"01/08/1970"|"194"|"GK"
"2014 playoffs"|"Sandesh Jhingan"|"Kerala Blasters"|"21/07/1993"|"188"|"DF"
"2014 playoffs"|"Jofre"|"ATK"|"24/01/1980"|"171"|"MF"
"2014 playoffs"|"Josemi"|"ATK"|"15/11/1979"|"183"|"DF"
"2014 playoffs"|"Laxmikant Kattimani"|"FC Goa"|"03/05/1989"|"183"|"GK"
"2014 playoffs"|"Harmanjot Khabra"|"Chennaiyin FC"|"18/12/1988"|"181"|"MF"
"2014 playoffs"|"Jeje Lalpekhlua"|"Chennaiyin FC"|"07/01/1991"|"173"|"FW"
"2014 playoffs"|"Climax Lawrence"|"ATK"|"16/01/1979"|"178"|"MF"
"2014 playoffs"|"Cavin Lobo"|"ATK"|"04/04/1988"|"170"|"MF"
"2014 playoffs"|"Luis García"|"ATK"|"24/06/1978"|"176"|"MF"
"2014 playoffs"|"Ranty Martins"|"FC Goa"|"05/09/1986"|"181"|"FW"
