"season"|"player"|"team"|"dob"|"height.cm"|"position"
"2014 playoffs"|"Rakesh Masih"|"ATK"|"18/03/1987"|"186"|"MF"
"2014 playoffs"|"Marco Materazzi"|"Chennaiyin FC"|"19/08/1973"|"193"|"DF"
"2014 playoffs"|"Sushanth Mathew"|"Kerala Blasters"|"18/05/1978"|"174"|"DF"
"2014 playoffs"|"Jean-Eudes Maurice"|"Chennaiyin FC"|"21/06/1986"|"180"|"FW"
"2014 playoffs"|"Jamie McAllister"|"Kerala Blasters"|"26/04/1978"|"180"|"DF"
"2014 playoffs"|"John Mendoza"|"Chennaiyin FC"|"27/06/1992"|"172"|"FW"
"2014 playoffs"|"Bernard Mendy"|"Chennaiyin FC"|"20/08/1981"|"180"|"DF"
"2014 playoffs"|"Miguel Herlein"|"FC Goa"|"11/02/1993"|"181"|"FW"
"2014 playoffs"|"Clifford Miranda"|"FC Goa"|"11/07/1982"|"172"|"MF"
"2014 playoffs"|"Nallappan Mohanraj"|"ATK"|"23/02/1989"|NA|"DF"
"2014 playoffs"|"Abhijit Mondal"|"Chennaiyin FC"|"01/10/1982"|"176"|"GK"
"2014 playoffs"|"Arnab Mondal"|"ATK"|"25/09/1989"|"179"|"DF"
"2014 playoffs"|"Sylvain Monsoreau"|"ATK"|"23/01/1981"|"186"|"DF"
"2014 playoffs"|"Sandip Nandy"|"Kerala Blasters"|"15/01/1975"|"177"|"GK"
"2014 playoffs"|"Holicharan Narzary"|"FC Goa"|"10/05/1994"|"174"|"FW"
"2014 playoffs"|"Ofentse Nato"|"ATK"|"01/10/1989"|"183"|"MF"
"2014 playoffs"|"Alessandro Nesta"|"Chennaiyin FC"|"19/03/1976"|"187"|"DF"
"2014 playoffs"|"Penn Orji"|"Kerala Blasters"|"04/04/1991"|"173"|"MF"
"2014 playoffs"|"Tolgay Özbey"|"FC Goa"|"12/04/1986"|"177"|"FW"
"2014 playoffs"|"Shilton Pal"|"Chennaiyin FC"|"10/06/1988"|NA|"GK"
"2014 playoffs"|"Stephen Pearson"|"Kerala Blasters"|"02/10/1982"|"183"|"MF"
"2014 playoffs"|"Pedro Gusmão"|"Kerala Blasters"|"04/06/1992"|"177"|"FW"
"2014 playoffs"|"Dane Pereira"|"Chennaiyin FC"|"13/10/1985"|"185"|"DF"
"2014 playoffs"|"Robert Pirés"|"FC Goa"|"29/10/1973"|"185"|"MF"
"2014 playoffs"|"Jakub Podaný"|"ATK"|"15/06/1987"|"184"|"MF"
"2014 playoffs"|"Pappachan Pradeep"|"Chennaiyin FC"|"28/04/1983"|"173"|"MF"
"2014 playoffs"|"Sanju Pradhan"|"ATK"|"15/08/1989"|"168"|"MF"
"2014 playoffs"|"Pulga"|"Kerala Blasters"|"06/11/1985"|"179"|"MF"
"2014 playoffs"|"Mohammed Rafi"|"ATK"|"24/05/1982"|"179"|"FW"
"2014 playoffs"|"Mohammed Rafique"|"ATK"|"20/09/1992"|"173"|"FW"
"2014 playoffs"|"Jewel Raja"|"FC Goa"|"18/01/1990"|"172"|"FW"
"2014 playoffs"|"Jayesh Rane"|"Chennaiyin FC"|"20/02/1993"|"175"|"FW"
"2014 playoffs"|"Rowilson Rodrigues"|"FC Goa"|"26/03/1987"|"181"|"DF"
"2014 playoffs"|"Raphael Romey"|"Kerala Blasters"|"26/02/1981"|"186"|"DF"
"2014 playoffs"|"Debabrata Roy"|"FC Goa"|"04/11/1986"|"173"|"DF"
"2014 playoffs"|"Chinadorai Sabeeth"|"Kerala Blasters"|"02/12/1990"|"178"|"FW"
"2014 playoffs"|"Biswajit Saha"|"ATK"|"15/12/1987"|NA|"DF"
"2014 playoffs"|"Baljit Sahni"|"ATK"|"12/01/1987"|NA|"MF"
"2014 playoffs"|"Safar Sardar"|"Chennaiyin FC"|"12/03/1988"|NA|"DF"
"2014 playoffs"|"Jan Šeda"|"FC Goa"|"17/12/1985"|"189"|"GK"
"2014 playoffs"|"Mikaël Silvestre"|"Chennaiyin FC"|"09/08/1977"|"184"|"DF"
"2014 playoffs"|"Balwant Singh"|"Chennaiyin FC"|"15/12/1986"|"180"|"FW"
"2014 playoffs"|"Bikramjit Singh"|"FC Goa"|"15/10/1992"|"171"|"MF"
"2014 playoffs"|"Dhanachandra Singh"|"Chennaiyin FC"|"04/03/1987"|NA|"DF"
"2014 playoffs"|"Gouramangi Singh"|"Chennaiyin FC"|"25/01/1985"|"186"|"DF"
"2014 playoffs"|"Gurwinder Singh"|"Kerala Blasters"|"16/04/1986"|"183"|"DF"
"2014 playoffs"|"Khelemba Singh"|"Chennaiyin FC"|"13/04/1985"|"183"|"DF"
"2014 playoffs"|"Ramandeep Singh"|"Kerala Blasters"|"27/06/1991"|NA|"DF"
"2014 playoffs"|"Renedy Singh"|"Kerala Blasters"|"20/06/1979"|"178"|"MF"
"2014 playoffs"|"Sukhwinder Singh"|"Chennaiyin FC"|"12/03/1983"|NA|"MF"
"2014 playoffs"|"Miroslav Slepicka"|"FC Goa"|"10/11/1981"|"182"|"FW"
"2014 playoffs"|"Jairo Suárez"|"Chennaiyin FC"|"24/03/1985"|"178"|"DF"
"2014 playoffs"|"Fikru Teferra"|"ATK"|"24/01/1986"|NA|"FW"
"2014 playoffs"|"Jaison Vales"|"Chennaiyin FC"|"04/09/1988"|NA|"MF"
"2015"|"Joaquim Abranches"|"FC Goa"|"28/10/1985"|NA|"FW"
"2015"|"Ishfaq Ahmed"|"Kerala Blasters"|"17/03/1983"|NA|"MF"
"2015"|"Aitor"|"Mumbai City FC"|"23/08/1986"|"180"|"DF"
"2015"|"Anwar Ali"|"Delhi Dynamos FC"|"24/09/1984"|"189"|"DF"
"2015"|"Keenan Almeida"|"FC Goa"|"10/10/1991"|NA|"DF"
"2015"|"André Moritz"|"Mumbai City FC"|"06/08/1986"|"187"|"MF"
"2015"|"Nicolas Anelka"|"Mumbai City FC"|"14/03/1979"|"183"|"FW"
"2015"|"Rino Anto"|"ATK"|"03/01/1988"|"174"|"DF"
"2015"|"Gregory Arnolin"|"FC Goa"|"10/11/1980"|"187"|"DF"
"2015"|"James Bailey"|"FC Pune City"|"18/09/1988"|"183"|"MF"
"2015"|"Luis Barreto"|"FC Goa"|"14/10/1980"|NA|"GK"
"2015"|"Selim Benachour"|"Mumbai City FC"|"08/09/1981"|"170"|"MF"
"2015"|"Frantz Bertin"|"Mumbai City FC"|"30/05/1983"|"182"|"MF"
"2015"|"Arindam Bhattacharya"|"FC Pune City"|"11/12/1989"|"188"|"GK"
"2015"|"Rahul Bheke"|"Kerala Blasters"|"06/12/1990"|"179"|"DF"
"2015"|"Kunzang Bhutia"|"ATK"|"03/01/1994"|"186"|"GK"
"2015"|"Nadong Bhutia"|"ATK"|"25/11/1993"|"180"|"FW"
"2015"|"André Bikey"|"NorthEast United FC"|"08/01/1985"|"182"|"DF"
"2015"|"Manuele Blasi"|"Chennaiyin FC"|"17/08/1980"|"178"|"MF"
"2015"|"Borja"|"ATK"|"14/01/1981"|"188"|"MF"
"2015"|"Gennaro Bracigliano"|"NorthEast United FC"|"01/03/1980"|"183"|"GK"
"2015"|"Bruno"|"NorthEast United FC"|"13/02/1985"|"176"|"MF"
"2015"|"Bruno Pelissari"|"Chennaiyin FC"|"03/01/1993"|"181"|"MF"
"2015"|"Bruno Perone"|"Kerala Blasters"|"06/07/1987"|"191"|"DF"
"2015"|"Bustos"|"Mumbai City FC"|"29/05/1983"|"177"|"MF"
"2015"|"Stephen Bywater"|"Kerala Blasters"|"07/06/1981"|"191"|"GK"
"2015"|"Calatayud"|"ATK"|"21/12/1979"|"191"|"GK"
"2015"|"Peter Carvalho"|"Kerala Blasters"|"18/12/1981"|NA|"MF"
"2015"|"Souvik Chakraborty"|"Delhi Dynamos FC"|"12/07/1987"|"172"|"MF"
"2015"|"Sunil Chhetri"|"Mumbai City FC"|"03/08/1984"|"172"|"FW"
"2015"|"Chicão"|"Delhi Dynamos FC"|"03/06/1981"|"181"|"DF"
"2015"|"Subhashish Chowdhury"|"Delhi Dynamos FC"|"27/09/1986"|"186"|"GK"
"2015"|"Pavel Cmovš"|"Mumbai City FC"|"29/06/1990"|"189"|"DF"
"2015"|"Nicolau Colaco"|"FC Goa"|"16/05/1984"|"180"|"DF"
"2015"|"Diego Colotto"|"FC Pune City"|"10/03/1981"|"184"|"DF"
"2015"|"Francis Dadzie"|"NorthEast United FC"|NA|NA|"FW"
"2015"|"Chris Dagnall"|"Kerala Blasters"|"15/04/1986"|"173"|"FW"
"2015"|"Abhishek Das"|"Chennaiyin FC"|"15/09/1993"|"170"|"DF"
"2015"|"Narayan Das"|"FC Goa"|"25/09/1993"|"178"|"MF"
"2015"|"Prabir Das"|"Delhi Dynamos FC"|"20/12/1993"|"172"|"MF"
"2015"|"Arnab Das Sharma"|"Mumbai City FC"|"11/12/1987"|"183"|"GK"
"2015"|"Vinicius Ferreira De Souza"|"Delhi Dynamos FC"|NA|NA|"FW"
"2015"|"Ishan Debnath"|"Delhi Dynamos FC"|"07/06/1991"|"178"|"GK"
"2015"|"Ishkant Debnath"|"Delhi Dynamos FC"|"30/07/1991"|NA|"GK"
"2015"|"Kingshuk Debnath"|"Mumbai City FC"|"08/05/1985"|NA|"DF"
"2015"|"Alen Deory"|"NorthEast United FC"|"12/01/1996"|"177"|"FW"
"2015"|"Mandar Dessai"|"FC Goa"|"18/03/1992"|"171"|"MF"
"2015"|"Denson Devadas"|"FC Goa"|"20/12/1982"|"178"|"MF"
"2015"|"Saumik Dey"|"Kerala Blasters"|"20/08/1984"|"178"|"DF"
"2015"|"Seiminlen Doungel"|"Delhi Dynamos FC"|"03/01/1994"|"172"|"FW"
"2015"|"Sameehg Doutie"|"ATK"|"31/05/1989"|"172"|"MF"
"2015"|"Darryl Duffy"|"FC Goa"|"16/04/1984"|"180"|"FW"
"2015"|"Anas Edathodika"|"Delhi Dynamos FC"|"15/02/1987"|"184"|"DF"
"2015"|"Apoula Edel"|"Chennaiyin FC"|"17/06/1986"|"184"|"GK"
"2015"|"Éder"|"Chennaiyin FC"|"21/09/1983"|"183"|"DF"
"2015"|"Elano"|"Chennaiyin FC"|"14/06/1981"|"174"|"MF"
"2015"|"Elinton Andrade"|"FC Goa"|"30/03/1979"|"190"|"GK"
"2015"|"Lalchhuanmawia Fanai"|"Mumbai City FC"|"14/04/1989"|"182"|"DF"
"2015"|"Augustin Fernandes"|"ATK"|"13/10/1987"|"178"|"DF"
"2015"|"Brandon Fernandes"|"Mumbai City FC"|"20/09/1994"|"171"|"MF"
"2015"|"Francis Fernandes"|"Delhi Dynamos FC"|"25/11/1985"|"167"|"MF"
"2015"|"Gabriel Fernandes"|"Mumbai City FC"|"22/04/1988"|"167"|"FW"
"2015"|"Romeo Fernandes"|"FC Goa"|"06/07/1992"|"168"|"FW"
"2015"|"Victorino Fernandes"|"FC Goa"|"03/02/1989"|"167"|"FW"
"2015"|"Denzil Franco"|"ATK"|"30/06/1986"|"177"|"DF"
"2015"|"Godwin Franco"|"Chennaiyin FC"|"16/02/1985"|NA|"MF"
"2015"|"Richard Gadze"|"Delhi Dynamos FC"|"23/08/1993"|"176"|"FW"
"2015"|"Raju Gaikwad"|"FC Goa"|"25/09/1990"|"180"|"DF"
"2015"|"Dhanpal Ganesh"|"Chennaiyin FC"|"13/06/1994"|"185"|"MF"
"2015"|"Gavilán"|"ATK"|"12/05/1985"|"178"|"MF"
"2015"|"Antonio German"|"Kerala Blasters"|"26/12/1991"|"178"|"FW"
"2015"|"Sanjiban Ghosh"|"Delhi Dynamos FC"|"06/07/1991"|"183"|"GK"
"2015"|"Albino Gomes"|"Mumbai City FC"|"07/02/1994"|NA|"GK"
"2015"|"Serginho Greene"|"Delhi Dynamos FC"|"24/06/1982"|"178"|"DF"
"2015"|"Israil Gurung"|"FC Pune City"|"02/04/1989"|"173"|"FW"
"2015"|"Robin Gurung"|"NorthEast United FC"|"26/10/1992"|"172"|"DF"
"2015"|"Gustavo Santos"|"Delhi Dynamos FC"|"08/03/1994"|"179"|"FW"
"2015"|"Pronay Halder"|"FC Goa"|"25/02/1993"|"174"|"MF"
"2015"|"Siam Hanghal"|"NorthEast United FC"|"26/05/1993"|"182"|"MF"
"2015"|"Boithang Haokip"|"NorthEast United FC"|"09/03/1991"|"178"|"MF"
"2015"|"Semboi Haokip"|"FC Goa"|"13/03/1993"|"183"|"FW"
"2015"|"Hélder Postiga"|"ATK"|"02/08/1982"|"182"|"FW"
"2015"|"Cédric Hengbart"|"NorthEast United FC"|"13/07/1980"|"183"|"DF"
"2015"|"Mehtab Hossain"|"Kerala Blasters"|"13/10/1981"|"171"|"MF"
"2015"|"Iain Hume"|"ATK"|"30/10/1983"|"170"|"FW"
"2015"|"Arata Izumi"|"ATK"|"31/07/1982"|"175"|"MF"
"2015"|"Bikash Jairu"|"FC Pune City"|"10/11/1990"|NA|"MF"
"2015"|"Javi Lara"|"ATK"|"04/12/1985"|"179"|"MF"
"2015"|"Sandesh Jhingan"|"Kerala Blasters"|"21/07/1993"|"188"|"DF"
"2015"|"João Coimbra"|"Kerala Blasters"|"24/05/1986"|"183"|"MF"
"2015"|"Jofre"|"FC Goa"|"24/01/1980"|"171"|"MF"
"2015"|"Roger Johnson"|"FC Pune City"|"28/04/1983"|"191"|"DF"
"2015"|"Jonatan Lucca"|"FC Goa"|"02/06/1994"|"187"|"MF"
"2015"|"Jorge Alonso"|"ATK"|"05/01/1985"|"178"|"MF"
"2015"|"Josemi"|"ATK"|"15/11/1979"|"183"|"DF"
"2015"|"Josu"|"Kerala Blasters"|"27/02/1993"|"176"|"DF"
"2015"|"Juan Aguilera"|"Mumbai City FC"|"13/09/1985"|"185"|"MF"
"2015"|"Diomansy Kamara"|"NorthEast United FC"|"08/11/1980"|"185"|"FW"
"2015"|"Laxmikant Kattimani"|"FC Goa"|"03/05/1989"|"183"|"GK"
"2015"|"Harmanjot Khabra"|"Chennaiyin FC"|"18/12/1988"|"181"|"MF"
"2015"|"Aibor Khongjee"|"NorthEast United FC"|"09/12/1987"|"180"|"DF"
"2015"|"Pritam Kotal"|"FC Pune City"|"08/09/1993"|"176"|"DF"
"2015"|"Gurjinder Kumar"|"FC Pune City"|"10/10/1990"|"178"|"DF"
"2015"|"Pawan Kumar"|"Chennaiyin FC"|"01/07/1990"|"182"|"GK"
"2015"|"Ravi Kumar"|"Delhi Dynamos FC"|"04/07/1993"|"180"|"GK"
"2015"|"Sampath Kuttimani"|"Mumbai City FC"|"28/09/1986"|"185"|"FW"
"2015"|"Nidhin Lal"|"Chennaiyin FC"|"07/06/1991"|"183"|"GK"
"2015"|"Lalchawnkima"|"ATK"|"31/05/1991"|"180"|"DF"
"2015"|"Jeje Lalpekhlua"|"Chennaiyin FC"|"07/01/1991"|"173"|"FW"
"2015"|"Fanai Lalrempuia"|"FC Pune City"|"11/05/1996"|"173"|"MF"
"2015"|"Robert Lalthlamuana"|"Delhi Dynamos FC"|"04/09/1988"|"171"|"DF"
"2015"|"Dejan Lekic"|"ATK"|"07/06/1985"|"193"|"FW"
"2015"|"Leó Moura"|"FC Goa"|"23/10/1978"|"176"|"DF"
"2015"|"Cavin Lobo"|"Kerala Blasters"|"04/04/1988"|"170"|"MF"
"2015"|"Javier López"|"NorthEast United FC"|"19/03/1980"|"186"|"DF"
"2015"|"Luciano Sabrosa"|"FC Goa"|"25/07/1979"|"181"|"MF"
"2015"|"Lúcio"|"FC Goa"|"08/05/1978"|"188"|"DF"
"2015"|"Eugeneson Lyngdoh"|"FC Pune City"|"10/09/1986"|"175"|"MF"
"2015"|"Mailson"|"Chennaiyin FC"|"05/02/1988"|"183"|"DF"
"2015"|"Manish Maithani"|"FC Pune City"|"05/11/1987"|NA|"MF"
"2015"|"Debjit Majumder"|"Mumbai City FC"|"06/03/1988"|"175"|"GK"
"2015"|"Florent Malouda"|"Delhi Dynamos FC"|"13/06/1980"|"181"|"MF"
"2015"|"Shylo Malsawmtluanga"|"Delhi Dynamos FC"|"24/10/1984"|NA|"MF"
"2015"|"Marchena"|"Kerala Blasters"|"31/07/1979"|"183"|"DF"
"2015"|"Sushanth Mathew"|"FC Pune City"|"18/05/1978"|"174"|"DF"
"2015"|"Ashutosh Mehta"|"Mumbai City FC"|"21/02/1991"|"176"|"MF"
"2015"|"John Mendoza"|"Chennaiyin FC"|"27/06/1992"|"172"|"FW"
"2015"|"Bernard Mendy"|"Chennaiyin FC"|"20/08/1981"|"180"|"DF"
"2015"|"Victor Mendy"|"NorthEast United FC"|"22/12/1981"|"180"|"FW"
"2015"|"Miguel García"|"NorthEast United FC"|"04/02/1983"|"179"|"DF"
"2015"|"Clifford Miranda"|"ATK"|"11/07/1982"|"172"|"MF"
"2015"|"Nallappan Mohanraj"|"ATK"|"23/02/1989"|NA|"DF"
"2015"|"Arnab Mondal"|"ATK"|"25/09/1989"|"179"|"DF"
"2015"|"Deepak Mondal"|"Kerala Blasters"|"13/10/1979"|"173"|"DF"
"2015"|"Hans Mulder"|"Delhi Dynamos FC"|"27/04/1987"|"180"|"MF"
"2015"|"Zakeer Mundampara"|"Chennaiyin FC"|"20/05/1990"|NA|"MF"
"2015"|"Adrian Mutu"|"FC Pune City"|"08/01/1979"|"180"|"FW"
"2015"|"Adil Nabi"|"Delhi Dynamos FC"|"28/02/1994"|"172"|"MF"
"2015"|"Syed Nabi"|"ATK"|"14/12/1985"|"170"|"DF"
"2015"|"Sandip Nandy"|"Kerala Blasters"|"15/01/1975"|"177"|"GK"
"2015"|"Holicharan Narzary"|"NorthEast United FC"|"10/05/1994"|"174"|"FW"
"2015"|"Ofentse Nato"|"ATK"|"01/10/1989"|"183"|"MF"
"2015"|"Sony Nordé"|"Mumbai City FC"|"27/07/1989"|"176"|"FW"
"2015"|"Darren O'Dea"|"Mumbai City FC"|"04/02/1987"|"186"|"DF"
"2015"|"Gilbert Oliveira"|"Chennaiyin FC"|"31/05/1990"|"155"|"MF"
"2015"|"Dudu Omangbemi"|"FC Goa"|"18/07/1985"|"179"|"FW"
"2015"|"Shilton Pal"|"Kerala Blasters"|"10/06/1988"|NA|"GK"
"2015"|"Subrata Pal"|"Mumbai City FC"|"24/12/1986"|"183"|"GK"
"2015"|"Rehenesh Paramba"|"NorthEast United FC"|"13/02/1993"|"178"|"GK"
"2015"|"Keegan Pereira"|"Mumbai City FC"|"07/11/1987"|"180"|"DF"
"2015"|"Frédéric Piquionne"|"Mumbai City FC"|"08/12/1978"|"188"|"FW"
"2015"|"Alessandro Potenza"|"Chennaiyin FC"|"08/03/1984"|"185"|"DF"
"2015"|"Sanju Pradhan"|"NorthEast United FC"|"15/08/1989"|"168"|"MF"
"2015"|"Pulga"|"Kerala Blasters"|"06/11/1985"|"179"|"MF"
"2015"|"Rafael Coelho"|"FC Goa"|"20/05/1988"|"174"|"FW"
"2015"|"Mohammed Rafi"|"Kerala Blasters"|"24/05/1982"|"179"|"FW"
"2015"|"Mohammed Rafique"|"ATK"|"20/09/1992"|"173"|"FW"
"2015"|"Jewel Raja"|"ATK"|"18/01/1990"|"172"|"FW"
"2015"|"Yumnam Raju"|"NorthEast United FC"|"03/07/1989"|"170"|"DF"
"2015"|"Lalhmangaihsanga Ralte"|"Chennaiyin FC"|"06/07/1988"|"170"|"DF"
"2015"|"Lalrindika Ralte"|"Mumbai City FC"|"07/09/1992"|"173"|"MF"
"2015"|"Lalthummawaia Ralte"|"NorthEast United FC"|"28/11/1992"|"177"|"GK"
"2015"|"Zodingliana Ralte"|"Delhi Dynamos FC"|"05/05/1995"|"175"|"MF"
"2015"|"Zohmingliana Ralte"|"NorthEast United FC"|"02/10/1987"|"178"|"DF"
"2015"|"Peter Ramage"|"Kerala Blasters"|"22/11/1983"|"185"|"DF"
"2015"|"Jayesh Rane"|"Chennaiyin FC"|"20/02/1993"|"175"|"FW"
"2015"|"Raphael Augusto"|"Chennaiyin FC"|"06/03/1991"|"181"|"MF"
"2015"|"Dharmaraj Ravanan"|"FC Pune City"|"29/07/1987"|"181"|"DF"
"2015"|"Reinaldo"|"FC Goa"|"14/03/1979"|"187"|"FW"
"2015"|"John Arne Riise"|"Delhi Dynamos FC"|"24/09/1980"|"185"|"DF"
"2015"|"Roberto Carlos"|"Delhi Dynamos FC"|"10/04/1973"|"168"|"DF"
"2015"|"Rodrigo Arroz"|"Kerala Blasters"|"21/03/1984"|"184"|"DF"
"2015"|"Lenny Rodrigues"|"FC Pune City"|"10/05/1987"|"185"|"MF"
"2015"|"Rowilson Rodrigues"|"Mumbai City FC"|"26/03/1987"|"181"|"DF"
"2015"|"Debabrata Roy"|"FC Goa"|"04/11/1986"|"173"|"DF"
"2015"|"Yendrick Ruiz"|"FC Pune City"|"12/04/1987"|"185"|"FW"
"2015"|"Chinadorai Sabeeth"|"FC Goa"|"02/12/1990"|"178"|"FW"
"2015"|"Baljit Sahni"|"ATK"|"12/01/1987"|NA|"MF"
"2015"|"Shankar Sampingiraj"|"Kerala Blasters"|"14/12/1994"|"184"|"MF"
"2015"|"Tuncay Sanli"|"FC Pune City"|"16/01/1982"|"182"|"FW"
"2015"|"Boubacar Sanogo"|"NorthEast United FC"|"17/12/1982"|"187"|"FW"
"2015"|"Pratesh Shirodkar"|"Mumbai City FC"|"19/02/1989"|"158"|"MF"
"2015"|"Nicky Shorey"|"FC Pune City"|"19/02/1981"|"175"|"DF"
"2015"|"Silas"|"NorthEast United FC"|"01/09/1976"|"176"|"MF"
"2015"|"Simão"|"NorthEast United FC"|"31/10/1979"|"170"|"MF"
"2015"|"Steve Simonsen"|"FC Pune City"|"03/04/1979"|"188"|"GK"
"2015"|"Amrinder Singh"|"ATK"|"27/05/1993"|"186"|"GK"
"2015"|"Balwant Singh"|"Chennaiyin FC"|"15/12/1986"|"180"|"FW"
"2015"|"Bikramjit Singh"|"FC Goa"|"15/10/1992"|"171"|"MF"
"2015"|"Dhanachandra Singh"|"Chennaiyin FC"|"04/03/1987"|NA|"DF"
"2015"|"Gouramangi Singh"|"FC Pune City"|"25/01/1985"|"186"|"DF"
"2015"|"Gurwinder Singh"|"Kerala Blasters"|"16/04/1986"|"183"|"DF"
"2015"|"Jackichand Singh"|"FC Pune City"|"17/03/1992"|"170"|"FW"
"2015"|"Karanjit Singh"|"Chennaiyin FC"|"08/01/1986"|"186"|"GK"
"2015"|"Manandeep Singh"|"Kerala Blasters"|"03/11/1992"|"180"|"FW"
"2015"|"Moiranthem Govin Singh"|"FC Pune City"|"03/01/1988"|"183"|"DF"
"2015"|"Naoba Singh"|"Delhi Dynamos FC"|"06/03/1988"|NA|"DF"
"2015"|"Ramandeep Singh"|"Kerala Blasters"|"27/06/1991"|NA|"DF"
"2015"|"Reagan Singh"|"NorthEast United FC"|"01/04/1991"|"173"|"DF"
"2015"|"Renedy Singh"|"Kerala Blasters"|"20/06/1979"|"178"|"MF"
"2015"|"Robin Singh"|"Delhi Dynamos FC"|"09/05/1990"|"185"|"FW"
"2015"|"Satiyasen Singh"|"NorthEast United FC"|"12/03/1992"|"178"|"FW"
"2015"|"Sehnaj Singh"|"Delhi Dynamos FC"|"29/07/1993"|"179"|"MF"
"2015"|"Singam Singh"|"Mumbai City FC"|"02/02/1990"|"175"|"FW"
"2015"|"Sushil Singh"|"ATK"|"25/06/1984"|"180"|"FW"
"2015"|"Thangjam Singh"|"Mumbai City FC"|"01/03/1987"|NA|"MF"
"2015"|"Thoi Singh"|"Chennaiyin FC"|"05/10/1990"|"168"|"MF"
"2015"|"Justin Stephen"|"Chennaiyin FC"|"28/01/1988"|"184"|"DF"
"2015"|"Marlanki Suting"|"NorthEast United FC"|"09/01/1986"|"173"|"MF"
"2015"|"Fikru Teferra"|"Chennaiyin FC"|"24/01/1986"|NA|"FW"
"2015"|"Lalit Thapa"|"FC Pune City"|"20/12/1984"|NA|"GK"
"2015"|"Tiri"|"ATK"|"14/07/1991"|"182"|"DF"
"2015"|"Toni Doblas"|"Delhi Dynamos FC"|"05/08/1980"|"184"|"GK"
"2015"|"Kalu Uche"|"FC Pune City"|"15/11/1982"|"178"|"FW"
"2015"|"Valdo"|"ATK"|"23/04/1981"|"184"|"MF"
"2015"|"Nicolás Vélez"|"NorthEast United FC"|"04/07/1990"|"173"|"MF"
"2015"|"Wesley Verhoek"|"FC Pune City"|"25/09/1986"|"187"|"FW"
"2015"|"Victor Simões"|"FC Goa"|"23/03/1981"|"179"|"FW"
"2015"|"Gunashekar Vignesh"|"Delhi Dynamos FC"|"30/09/1988"|"172"|"MF"
"2015"|"C.K. Vineeth"|"Kerala Blasters"|"20/05/1988"|"178"|"FW"
"2015"|"Mehrjajuddin Wadoo"|"Chennaiyin FC"|"12/02/1984"|"186"|"MF"
"2015"|"Marcus Williams"|"Kerala Blasters"|"08/04/1986"|"173"|"DF"
"2015"|"Didier Zokora"|"FC Pune City"|"14/12/1980"|"179"|"MF"
"2015 playoffs"|"Joaquim Abranches"|"FC Goa"|"28/10/1985"|NA|"FW"
"2015 playoffs"|"Anwar Ali"|"Delhi Dynamos FC"|"24/09/1984"|"189"|"DF"
"2015 playoffs"|"Keenan Almeida"|"FC Goa"|"10/10/1991"|NA|"DF"
"2015 playoffs"|"Rino Anto"|"ATK"|"03/01/1988"|"174"|"DF"
"2015 playoffs"|"Gregory Arnolin"|"FC Goa"|"10/11/1980"|"187"|"DF"
"2015 playoffs"|"Luis Barreto"|"FC Goa"|"14/10/1980"|NA|"GK"
"2015 playoffs"|"Kunzang Bhutia"|"ATK"|"03/01/1994"|"186"|"GK"
"2015 playoffs"|"Nadong Bhutia"|"ATK"|"25/11/1993"|"180"|"FW"
"2015 playoffs"|"Manuele Blasi"|"Chennaiyin FC"|"17/08/1980"|"178"|"MF"
"2015 playoffs"|"Borja"|"ATK"|"14/01/1981"|"188"|"MF"
