"season"|"player"|"team"|"dob"|"height.cm"|"position"
"2015 playoffs"|"Bruno Pelissari"|"Chennaiyin FC"|"03/01/1993"|"181"|"MF"
"2015 playoffs"|"Calatayud"|"ATK"|"21/12/1979"|"191"|"GK"
"2015 playoffs"|"Souvik Chakraborty"|"Delhi Dynamos FC"|"12/07/1987"|"172"|"MF"
"2015 playoffs"|"Chicão"|"Delhi Dynamos FC"|"03/06/1981"|"181"|"DF"
"2015 playoffs"|"Subhashish Chowdhury"|"Delhi Dynamos FC"|"27/09/1986"|"186"|"GK"
"2015 playoffs"|"Nicolau Colaco"|"FC Goa"|"16/05/1984"|"180"|"DF"
"2015 playoffs"|"Abhishek Das"|"Chennaiyin FC"|"15/09/1993"|"170"|"DF"
"2015 playoffs"|"Narayan Das"|"FC Goa"|"25/09/1993"|"178"|"MF"
"2015 playoffs"|"Prabir Das"|"Delhi Dynamos FC"|"20/12/1993"|"172"|"MF"
"2015 playoffs"|"Vinicius Ferreira De Souza"|"Delhi Dynamos FC"|NA|NA|"FW"
"2015 playoffs"|"Ishan Debnath"|"Delhi Dynamos FC"|"07/06/1991"|"178"|"GK"
"2015 playoffs"|"Ishkant Debnath"|"Delhi Dynamos FC"|"30/07/1991"|NA|"GK"
"2015 playoffs"|"Mandar Dessai"|"FC Goa"|"18/03/1992"|"171"|"MF"
"2015 playoffs"|"Denson Devadas"|"FC Goa"|"20/12/1982"|"178"|"MF"
"2015 playoffs"|"Seiminlen Doungel"|"Delhi Dynamos FC"|"03/01/1994"|"172"|"FW"
"2015 playoffs"|"Sameehg Doutie"|"ATK"|"31/05/1989"|"172"|"MF"
"2015 playoffs"|"Darryl Duffy"|"FC Goa"|"16/04/1984"|"180"|"FW"
"2015 playoffs"|"Anas Edathodika"|"Delhi Dynamos FC"|"15/02/1987"|"184"|"DF"
"2015 playoffs"|"Apoula Edel"|"Chennaiyin FC"|"17/06/1986"|"184"|"GK"
"2015 playoffs"|"Éder"|"Chennaiyin FC"|"21/09/1983"|"183"|"DF"
"2015 playoffs"|"Elano"|"Chennaiyin FC"|"14/06/1981"|"174"|"MF"
"2015 playoffs"|"Elinton Andrade"|"FC Goa"|"30/03/1979"|"190"|"GK"
"2015 playoffs"|"Augustin Fernandes"|"ATK"|"13/10/1987"|"178"|"DF"
"2015 playoffs"|"Francis Fernandes"|"Delhi Dynamos FC"|"25/11/1985"|"167"|"MF"
"2015 playoffs"|"Romeo Fernandes"|"FC Goa"|"06/07/1992"|"168"|"FW"
"2015 playoffs"|"Victorino Fernandes"|"FC Goa"|"03/02/1989"|"167"|"FW"
"2015 playoffs"|"Denzil Franco"|"ATK"|"30/06/1986"|"177"|"DF"
"2015 playoffs"|"Godwin Franco"|"Chennaiyin FC"|"16/02/1985"|NA|"MF"
"2015 playoffs"|"Richard Gadze"|"Delhi Dynamos FC"|"23/08/1993"|"176"|"FW"
"2015 playoffs"|"Raju Gaikwad"|"FC Goa"|"25/09/1990"|"180"|"DF"
"2015 playoffs"|"Dhanpal Ganesh"|"Chennaiyin FC"|"13/06/1994"|"185"|"MF"
"2015 playoffs"|"Gavilán"|"ATK"|"12/05/1985"|"178"|"MF"
"2015 playoffs"|"Sanjiban Ghosh"|"Delhi Dynamos FC"|"06/07/1991"|"183"|"GK"
"2015 playoffs"|"Serginho Greene"|"Delhi Dynamos FC"|"24/06/1982"|"178"|"DF"
"2015 playoffs"|"Gustavo Santos"|"Delhi Dynamos FC"|"08/03/1994"|"179"|"FW"
"2015 playoffs"|"Pronay Halder"|"FC Goa"|"25/02/1993"|"174"|"MF"
"2015 playoffs"|"Semboi Haokip"|"FC Goa"|"13/03/1993"|"183"|"FW"
"2015 playoffs"|"Hélder Postiga"|"ATK"|"02/08/1982"|"182"|"FW"
"2015 playoffs"|"Iain Hume"|"ATK"|"30/10/1983"|"170"|"FW"
"2015 playoffs"|"Arata Izumi"|"ATK"|"31/07/1982"|"175"|"MF"
"2015 playoffs"|"Javi Lara"|"ATK"|"04/12/1985"|"179"|"MF"
"2015 playoffs"|"Jofre"|"FC Goa"|"24/01/1980"|"171"|"MF"
"2015 playoffs"|"Jonatan Lucca"|"FC Goa"|"02/06/1994"|"187"|"MF"
"2015 playoffs"|"Jorge Alonso"|"ATK"|"05/01/1985"|"178"|"MF"
"2015 playoffs"|"Josemi"|"ATK"|"15/11/1979"|"183"|"DF"
"2015 playoffs"|"Laxmikant Kattimani"|"FC Goa"|"03/05/1989"|"183"|"GK"
"2015 playoffs"|"Harmanjot Khabra"|"Chennaiyin FC"|"18/12/1988"|"181"|"MF"
"2015 playoffs"|"Pawan Kumar"|"Chennaiyin FC"|"01/07/1990"|"182"|"GK"
"2015 playoffs"|"Ravi Kumar"|"Delhi Dynamos FC"|"04/07/1993"|"180"|"GK"
"2015 playoffs"|"Nidhin Lal"|"Chennaiyin FC"|"07/06/1991"|"183"|"GK"
"2015 playoffs"|"Lalchawnkima"|"ATK"|"31/05/1991"|"180"|"DF"
"2015 playoffs"|"Jeje Lalpekhlua"|"Chennaiyin FC"|"07/01/1991"|"173"|"FW"
"2015 playoffs"|"Robert Lalthlamuana"|"Delhi Dynamos FC"|"04/09/1988"|"171"|"DF"
"2015 playoffs"|"Dejan Lekic"|"ATK"|"07/06/1985"|"193"|"FW"
"2015 playoffs"|"Leó Moura"|"FC Goa"|"23/10/1978"|"176"|"DF"
"2015 playoffs"|"Luciano Sabrosa"|"FC Goa"|"25/07/1979"|"181"|"MF"
"2015 playoffs"|"Lúcio"|"FC Goa"|"08/05/1978"|"188"|"DF"
"2015 playoffs"|"Mailson"|"Chennaiyin FC"|"05/02/1988"|"183"|"DF"
"2015 playoffs"|"Florent Malouda"|"Delhi Dynamos FC"|"13/06/1980"|"181"|"MF"
"2015 playoffs"|"Shylo Malsawmtluanga"|"Delhi Dynamos FC"|"24/10/1984"|NA|"MF"
"2015 playoffs"|"John Mendoza"|"Chennaiyin FC"|"27/06/1992"|"172"|"FW"
"2015 playoffs"|"Bernard Mendy"|"Chennaiyin FC"|"20/08/1981"|"180"|"DF"
"2015 playoffs"|"Clifford Miranda"|"ATK"|"11/07/1982"|"172"|"MF"
"2015 playoffs"|"Nallappan Mohanraj"|"ATK"|"23/02/1989"|NA|"DF"
"2015 playoffs"|"Arnab Mondal"|"ATK"|"25/09/1989"|"179"|"DF"
"2015 playoffs"|"Hans Mulder"|"Delhi Dynamos FC"|"27/04/1987"|"180"|"MF"
"2015 playoffs"|"Zakeer Mundampara"|"Chennaiyin FC"|"20/05/1990"|NA|"MF"
"2015 playoffs"|"Adil Nabi"|"Delhi Dynamos FC"|"28/02/1994"|"172"|"MF"
"2015 playoffs"|"Syed Nabi"|"ATK"|"14/12/1985"|"170"|"DF"
"2015 playoffs"|"Ofentse Nato"|"ATK"|"01/10/1989"|"183"|"MF"
"2015 playoffs"|"Gilbert Oliveira"|"Chennaiyin FC"|"31/05/1990"|"155"|"MF"
"2015 playoffs"|"Dudu Omangbemi"|"FC Goa"|"18/07/1985"|"179"|"FW"
"2015 playoffs"|"Alessandro Potenza"|"Chennaiyin FC"|"08/03/1984"|"185"|"DF"
"2015 playoffs"|"Rafael Coelho"|"FC Goa"|"20/05/1988"|"174"|"FW"
"2015 playoffs"|"Mohammed Rafique"|"ATK"|"20/09/1992"|"173"|"FW"
"2015 playoffs"|"Jewel Raja"|"ATK"|"18/01/1990"|"172"|"FW"
"2015 playoffs"|"Lalhmangaihsanga Ralte"|"Chennaiyin FC"|"06/07/1988"|"170"|"DF"
"2015 playoffs"|"Zodingliana Ralte"|"Delhi Dynamos FC"|"05/05/1995"|"175"|"MF"
"2015 playoffs"|"Jayesh Rane"|"Chennaiyin FC"|"20/02/1993"|"175"|"FW"
"2015 playoffs"|"Raphael Augusto"|"Chennaiyin FC"|"06/03/1991"|"181"|"MF"
"2015 playoffs"|"Reinaldo"|"FC Goa"|"14/03/1979"|"187"|"FW"
"2015 playoffs"|"John Arne Riise"|"Delhi Dynamos FC"|"24/09/1980"|"185"|"DF"
"2015 playoffs"|"Roberto Carlos"|"Delhi Dynamos FC"|"10/04/1973"|"168"|"DF"
"2015 playoffs"|"Debabrata Roy"|"FC Goa"|"04/11/1986"|"173"|"DF"
"2015 playoffs"|"Chinadorai Sabeeth"|"FC Goa"|"02/12/1990"|"178"|"FW"
"2015 playoffs"|"Baljit Sahni"|"ATK"|"12/01/1987"|NA|"MF"
"2015 playoffs"|"Amrinder Singh"|"ATK"|"27/05/1993"|"186"|"GK"
"2015 playoffs"|"Balwant Singh"|"Chennaiyin FC"|"15/12/1986"|"180"|"FW"
"2015 playoffs"|"Bikramjit Singh"|"FC Goa"|"15/10/1992"|"171"|"MF"
"2015 playoffs"|"Dhanachandra Singh"|"Chennaiyin FC"|"04/03/1987"|NA|"DF"
"2015 playoffs"|"Karanjit Singh"|"Chennaiyin FC"|"08/01/1986"|"186"|"GK"
"2015 playoffs"|"Naoba Singh"|"Delhi Dynamos FC"|"06/03/1988"|NA|"DF"
"2015 playoffs"|"Robin Singh"|"Delhi Dynamos FC"|"09/05/1990"|"185"|"FW"
"2015 playoffs"|"Sehnaj Singh"|"Delhi Dynamos FC"|"29/07/1993"|"179"|"MF"
"2015 playoffs"|"Sushil Singh"|"ATK"|"25/06/1984"|"180"|"FW"
"2015 playoffs"|"Thoi Singh"|"Chennaiyin FC"|"05/10/1990"|"168"|"MF"
"2015 playoffs"|"Justin Stephen"|"Chennaiyin FC"|"28/01/1988"|"184"|"DF"
"2015 playoffs"|"Fikru Teferra"|"Chennaiyin FC"|"24/01/1986"|NA|"FW"
"2015 playoffs"|"Tiri"|"ATK"|"14/07/1991"|"182"|"DF"
"2015 playoffs"|"Toni Doblas"|"Delhi Dynamos FC"|"05/08/1980"|"184"|"GK"
"2015 playoffs"|"Valdo"|"ATK"|"23/04/1981"|"184"|"MF"
"2015 playoffs"|"Victor Simões"|"FC Goa"|"23/03/1981"|"179"|"FW"
"2015 playoffs"|"Gunashekar Vignesh"|"Delhi Dynamos FC"|"30/09/1988"|"172"|"MF"
"2015 playoffs"|"Mehrjajuddin Wadoo"|"Chennaiyin FC"|"12/02/1984"|"186"|"MF"
"2016"|"David Addy"|"Delhi Dynamos FC"|"21/02/1990"|"183"|"DF"
"2016"|"Ishfaq Ahmed"|"Kerala Blasters"|"17/03/1983"|NA|"MF"
"2016"|"Emiliano Alfaro"|"NorthEast United FC"|"28/04/1988"|"172"|"FW"
"2016"|"Anwar Ali"|"Mumbai City FC"|"24/09/1984"|"189"|"DF"
"2016"|"Keenan Almeida"|"FC Goa"|"10/10/1991"|NA|"DF"
"2016"|"Sasha Aneff"|"NorthEast United FC"|"26/06/1991"|"186"|"FW"
"2016"|"Soram Anganba"|"Delhi Dynamos FC"|"24/12/1992"|"182"|"GK"
"2016"|"Mohamed Ansari"|"Kerala Blasters"|NA|NA|"GK"
"2016"|"Rino Anto"|"Kerala Blasters"|"03/01/1988"|"174"|"DF"
"2016"|"Gregory Arnolin"|"FC Goa"|"10/11/1980"|"187"|"DF"
"2016"|"Badara Badji"|"Delhi Dynamos FC"|"24/02/1994"|"192"|"FW"
"2016"|"Sanjay Balmuchu"|"FC Goa"|"05/01/1992"|NA|"MF"
"2016"|"Juan Belencoso"|"ATK"|"01/09/1981"|"186"|"FW"
"2016"|"Kervens Belfort"|"Kerala Blasters"|"16/05/1992"|"185"|"FW"
"2016"|"Arindam Bhattacharya"|"FC Pune City"|"11/12/1989"|"188"|"GK"
"2016"|"Rahul Bheke"|"FC Pune City"|"06/12/1990"|"179"|"DF"
"2016"|"André Bikey"|"FC Pune City"|"08/01/1985"|"182"|"DF"
"2016"|"Manuele Blasi"|"Chennaiyin FC"|"17/08/1980"|"178"|"MF"
"2016"|"Rowllin Borges"|"NorthEast United FC"|"05/06/1992"|"183"|"MF"
"2016"|"Borja"|"ATK"|"14/01/1981"|"188"|"MF"
"2016"|"Bruno"|"FC Pune City"|"13/02/1985"|"176"|"MF"
"2016"|"Bruno Pelissari"|"Delhi Dynamos FC"|"03/01/1993"|"181"|"MF"
"2016"|"Cafu"|"Mumbai City FC"|"22/01/1996"|"168"|"FW"
"2016"|"Facundo Cardozo"|"Mumbai City FC"|"06/04/1995"|"182"|"DF"
"2016"|"Fulganco Cardozo"|"FC Goa"|"23/01/1988"|NA|"DF"
"2016"|"Souvik Chakraborty"|"Delhi Dynamos FC"|"12/07/1987"|"172"|"MF"
"2016"|"Nirmal Chettri"|"NorthEast United FC"|"21/10/1990"|"175"|"DF"
"2016"|"Lallianzuala Chhangte"|"NorthEast United FC"|"06/08/1997"|"167"|"MF"
"2016"|"Sunil Chhetri"|"Mumbai City FC"|"03/08/1984"|"172"|"FW"
"2016"|"Michael Chopra"|"Kerala Blasters"|"23/12/1983"|"175"|"FW"
"2016"|"Faroukh Choudhary"|"Kerala Blasters"|"24/06/1996"|NA|"FW"
"2016"|"Pratik Chowdhary"|"Kerala Blasters"|"04/10/1989"|"188"|"DF"
"2016"|"Subhashish Chowdhury"|"FC Goa"|"27/09/1986"|"186"|"GK"
"2016"|"Robert Cullen"|"NorthEast United FC"|"07/06/1985"|"179"|"FW"
"2016"|"Dani Mallo"|"ATK"|"25/01/1979"|"185"|"GK"
"2016"|"Abhishek Das"|"Chennaiyin FC"|"15/09/1993"|"170"|"DF"
"2016"|"Narayan Das"|"FC Pune City"|"25/09/1993"|"178"|"DF"
"2016"|"Prabir Das"|"ATK"|"20/12/1993"|"172"|"MF"
"2016"|"Arnab Das Sharma"|"Mumbai City FC"|"11/12/1987"|"183"|"GK"
"2016"|"Ishan Debnath"|"NorthEast United FC"|"07/06/1991"|"178"|"GK"
"2016"|"Kingshuk Debnath"|"ATK"|"08/05/1985"|NA|"DF"
"2016"|"Matías Defederico"|"Mumbai City FC"|"23/08/1989"|"168"|"FW"
"2016"|"Mandar Dessai"|"FC Goa"|"18/03/1992"|"171"|"MF"
"2016"|"Denson Devadas"|"Delhi Dynamos FC"|"20/12/1982"|"178"|"MF"
"2016"|"Amoes Do"|"Delhi Dynamos FC"|"04/09/1994"|NA|"MF"
"2016"|"Sameehg Doutie"|"ATK"|"31/05/1989"|"172"|"MF"
"2016"|"Anas Edathodika"|"Delhi Dynamos FC"|"15/02/1987"|"184"|"DF"
"2016"|"Apoula Edel"|"FC Pune City"|"17/06/1986"|"184"|"GK"
"2016"|"Éder"|"Chennaiyin FC"|"21/09/1983"|"183"|"DF"
"2016"|"Eduardo"|"FC Pune City"|"08/10/1983"|"189"|"DF"
"2016"|"Eli Sabiá"|"Chennaiyin FC"|"31/08/1988"|"187"|"DF"
"2016"|"Lalchhuanmawia Fanai"|"Mumbai City FC"|"14/04/1989"|"182"|"DF"
"2016"|"Augustin Fernandes"|"FC Pune City"|"13/10/1987"|"178"|"DF"
"2016"|"Francis Fernandes"|"FC Pune City"|"25/11/1985"|"167"|"MF"
"2016"|"Romeo Fernandes"|"FC Goa"|"06/07/1992"|"168"|"FW"
"2016"|"Victorino Fernandes"|"FC Goa"|"03/02/1989"|"167"|"FW"
"2016"|"Diego Forlán"|"Mumbai City FC"|"19/05/1979"|"179"|"FW"
"2016"|"Denzil Franco"|"FC Goa"|"30/06/1986"|"177"|"DF"
"2016"|"Richard Gadze"|"Delhi Dynamos FC"|"23/08/1993"|"176"|"FW"
"2016"|"Raju Gaikwad"|"FC Goa"|"25/09/1990"|"180"|"DF"
"2016"|"Gallardo"|"ATK"|"19/02/1986"|"184"|"DF"
"2016"|"Dhanpal Ganesh"|"Chennaiyin FC"|"13/06/1994"|"185"|"MF"
"2016"|"Alwyn George"|"Delhi Dynamos FC"|"03/01/1992"|"173"|"MF"
"2016"|"Antonio German"|"Kerala Blasters"|"26/12/1991"|"178"|"FW"
"2016"|"Gérson"|"Mumbai City FC"|"04/10/1992"|"179"|"DF"
"2016"|"Sanjiban Ghosh"|"Delhi Dynamos FC"|"06/07/1991"|"183"|"GK"
"2016"|"Shouvik Ghosh"|"NorthEast United FC"|"05/11/1992"|"181"|"DF"
"2016"|"Lucian Goian"|"Mumbai City FC"|"10/02/1983"|"185"|"DF"
"2016"|"Albino Gomes"|"Mumbai City FC"|"07/02/1994"|NA|"GK"
"2016"|"Robin Gurung"|"NorthEast United FC"|"26/10/1992"|"172"|"DF"
"2016"|"Gustavo Araújo"|"NorthEast United FC"|"09/03/1984"|"184"|"DF"
"2016"|"Pronay Halder"|"Mumbai City FC"|"25/02/1993"|"174"|"MF"
"2016"|"Siam Hanghal"|"Chennaiyin FC"|"26/05/1993"|"182"|"MF"
"2016"|"Boithang Haokip"|"Mumbai City FC"|"09/03/1991"|"178"|"MF"
"2016"|"Semboi Haokip"|"Kerala Blasters"|"13/03/1993"|"183"|"FW"
"2016"|"Hélder Postiga"|"ATK"|"02/08/1982"|"182"|"FW"
"2016"|"Cédric Hengbart"|"Kerala Blasters"|"13/07/1980"|"183"|"DF"
"2016"|"Mehtab Hossain"|"Kerala Blasters"|"13/10/1981"|"171"|"MF"
"2016"|"Aaron Hughes"|"Kerala Blasters"|"08/11/1979"|"183"|"DF"
"2016"|"Iain Hume"|"ATK"|"30/10/1983"|"170"|"FW"
"2016"|"Arata Izumi"|"FC Pune City"|"31/07/1982"|"175"|"MF"
"2016"|"Bikash Jairu"|"ATK"|"10/11/1990"|NA|"MF"
"2016"|"Javi Lara"|"ATK"|"04/12/1985"|"179"|"MF"
"2016"|"Sandesh Jhingan"|"Kerala Blasters"|"21/07/1993"|"188"|"DF"
"2016"|"Jofre"|"FC Goa"|"24/01/1980"|"171"|"MF"
"2016"|"Jonatan Lucca"|"FC Pune City"|"02/06/1994"|"187"|"MF"
"2016"|"Josu"|"Kerala Blasters"|"27/02/1993"|"176"|"DF"
"2016"|"Júlio César"|"FC Goa"|"26/02/1980"|"181"|"FW"
"2016"|"Didier Kadio"|"Kerala Blasters"|"05/04/1990"|"178"|"DF"
"2016"|"Vishal Kaith"|"FC Pune City"|"22/07/1996"|"188"|"GK"
"2016"|"Prasanth Karuthadathkuni"|"Kerala Blasters"|"24/06/1997"|NA|"FW"
"2016"|"Laxmikant Kattimani"|"FC Goa"|"03/05/1989"|"183"|"GK"
"2016"|"Duwayne Kerr"|"Chennaiyin FC"|"16/01/1987"|"199"|"GK"
"2016"|"Harmanjot Khabra"|"Chennaiyin FC"|"18/12/1988"|"181"|"MF"
"2016"|"Aibor Khongjee"|"Mumbai City FC"|"09/12/1987"|"180"|"DF"
"2016"|"Pritam Kotal"|"ATK"|"08/09/1993"|"176"|"DF"
"2016"|"Pawan Kumar"|"Chennaiyin FC"|"01/07/1990"|"182"|"GK"
"2016"|"Nidhin Lal"|"Chennaiyin FC"|"07/06/1991"|"183"|"GK"
"2016"|"Lalchawnkima"|"Delhi Dynamos FC"|"31/05/1991"|"180"|"DF"
"2016"|"Daniel Lalhlimpuia"|"Chennaiyin FC"|"12/09/1997"|"184"|"FW"
"2016"|"Jeje Lalpekhlua"|"Chennaiyin FC"|"07/01/1991"|"173"|"FW"
"2016"|"Fanai Lalrempuia"|"NorthEast United FC"|"11/05/1996"|"173"|"MF"
"2016"|"David Lalrinmuana"|"Mumbai City FC"|"09/11/1992"|NA|"MF"
"2016"|"Jerry Lalrinzuala"|"Chennaiyin FC"|"13/07/1998"|"174"|"DF"
"2016"|"Lalruatthara"|"Delhi Dynamos FC"|"17/01/1995"|"180"|"DF"
"2016"|"Robert Lalthlamuana"|"ATK"|"04/09/1988"|"171"|"DF"
"2016"|"Léo Costa"|"Mumbai City FC"|"03/03/1986"|"181"|"MF"
"2016"|"Kean Lewis"|"Delhi Dynamos FC"|"19/09/1992"|"170"|"MF"
"2016"|"Luciano Sabrosa"|"FC Goa"|"25/07/1979"|"181"|"MF"
"2016"|"Lúcio"|"FC Goa"|"08/05/1978"|"188"|"DF"
"2016"|"Munmun Lugun"|"Mumbai City FC"|"05/05/1993"|"176"|"DF"
"2016"|"Eugeneson Lyngdoh"|"FC Pune City"|"10/09/1986"|"175"|"MF"
"2016"|"Azrack Mahamat"|"Kerala Blasters"|"24/03/1988"|"181"|"MF"
"2016"|"Mailson"|"NorthEast United FC"|"05/02/1988"|"183"|"DF"
"2016"|"Manish Maithani"|"FC Pune City"|"05/11/1987"|NA|"MF"
"2016"|"Debjit Majumder"|"ATK"|"06/03/1988"|"175"|"GK"
"2016"|"Florent Malouda"|"Delhi Dynamos FC"|"13/06/1980"|"181"|"MF"
"2016"|"Sawmtea Malsawmzuala"|"Delhi Dynamos FC"|"12/09/1997"|"179"|"MF"
"2016"|"Marcelinho"|"Delhi Dynamos FC"|"22/06/1987"|"172"|"MF"
"2016"|"Matheus Trindade"|"FC Goa"|"05/03/1996"|"175"|"MF"
"2016"|"Jerry Mawihmingthanga"|"NorthEast United FC"|"09/03/1997"|NA|"FW"
"2016"|"Ashutosh Mehta"|"Mumbai City FC"|"21/02/1991"|"176"|"MF"
"2016"|"Memo"|"Delhi Dynamos FC"|"14/02/1988"|"179"|"MF"
"2016"|"Bernard Mendy"|"Chennaiyin FC"|"20/08/1981"|"180"|"DF"
"2016"|"Nallappan Mohanraj"|"Chennaiyin FC"|"23/02/1989"|NA|"DF"
"2016"|"Arnab Mondal"|"ATK"|"25/09/1989"|"179"|"DF"
"2016"|"Hans Mulder"|"Chennaiyin FC"|"27/04/1987"|"180"|"MF"
"2016"|"Zakeer Mundampara"|"Chennaiyin FC"|"20/05/1990"|NA|"MF"
"2016"|"Ouzin N'Doye"|"Kerala Blasters"|"10/04/1992"|"189"|"DF"
"2016"|"Samir Nabi"|"Delhi Dynamos FC"|"16/12/1997"|"182"|"MF"
"2016"|"Sandip Nandy"|"Kerala Blasters"|"15/01/1975"|"177"|"GK"
"2016"|"Holicharan Narzary"|"NorthEast United FC"|"10/05/1994"|"174"|"FW"
"2016"|"Ofentse Nato"|"ATK"|"01/10/1989"|"183"|"MF"
"2016"|"Duckens Nazon"|"Kerala Blasters"|"07/04/1994"|"181"|"FW"
"2016"|"Momar Ndoye"|"FC Pune City"|"10/03/1992"|"179"|"FW"
"2016"|"Ibrahima Niasse"|"Delhi Dynamos FC"|"18/04/1988"|"188"|"DF"
"2016"|"Rupert Nongrum"|"Delhi Dynamos FC"|"21/08/1996"|"179"|"MF"
"2016"|"Sony Nordé"|"Mumbai City FC"|"27/07/1989"|"176"|"FW"
"2016"|"Gustavo Oberman"|"FC Pune City"|"25/03/1985"|"177"|"MF"
"2016"|"Dudu Omangbemi"|"Chennaiyin FC"|"18/07/1985"|"179"|"FW"
"2016"|"Rakesh Oram"|"Mumbai City FC"|"31/10/1997"|NA|"FW"
"2016"|"Shilton Pal"|"ATK"|"10/06/1988"|NA|"GK"
"2016"|"Subrata Pal"|"NorthEast United FC"|"24/12/1986"|"183"|"GK"
"2016"|"Rehenesh Paramba"|"NorthEast United FC"|"13/02/1993"|"178"|"GK"
"2016"|"Sumeet Passi"|"NorthEast United FC"|"18/04/1995"|"179"|"FW"
"2016"|"Sukhadev Patil"|"FC Goa"|"23/01/1998"|NA|"GK"
"2016"|"Stephen Pearson"|"ATK"|"02/10/1982"|"183"|"MF"
"2016"|"Maurizio Peluso"|"Chennaiyin FC"|"20/06/1985"|"172"|"FW"
"2016"|"Keegan Pereira"|"ATK"|"07/11/1987"|"180"|"DF"
"2016"|"Pitu"|"FC Pune City"|"24/11/1983"|"171"|"MF"
"2016"|"Sanju Pradhan"|"FC Pune City"|"15/08/1989"|"168"|"MF"
"2016"|"Rafael Coelho"|"FC Goa"|"20/05/1988"|"174"|"FW"
"2016"|"Rafael Dumas"|"FC Goa"|"13/03/1995"|"184"|"DF"
"2016"|"Mohammed Rafi"|"Kerala Blasters"|"24/05/1982"|"179"|"FW"
"2016"|"Mohammed Rafique"|"Kerala Blasters"|"20/09/1992"|"173"|"FW"
"2016"|"Uttam Rai"|"Chennaiyin FC"|"20/12/1996"|NA|"FW"
"2016"|"Vinit Rai"|"Kerala Blasters"|"11/10/1997"|"184"|"MF"
"2016"|"Jewel Raja"|"ATK"|"18/01/1990"|"172"|"FW"
"2016"|"Yumnam Raju"|"FC Pune City"|"03/07/1989"|"170"|"DF"
"2016"|"Lalhmangaihsanga Ralte"|"Mumbai City FC"|"06/07/1988"|"170"|"DF"
"2016"|"Lalrindika Ralte"|"ATK"|"07/09/1992"|"173"|"MF"
"2016"|"Zodingliana Ralte"|"FC Pune City"|"05/05/1995"|"175"|"MF"
"2016"|"Jayesh Rane"|"Chennaiyin FC"|"20/02/1993"|"175"|"FW"
"2016"|"Raphael Augusto"|"Chennaiyin FC"|"06/03/1991"|"181"|"MF"
"2016"|"Dharmaraj Ravanan"|"FC Pune City"|"29/07/1987"|"181"|"DF"
"2016"|"Reinaldo"|"FC Goa"|"14/03/1979"|"187"|"FW"
"2016"|"Richarlyson"|"FC Goa"|"27/12/1982"|"176"|"MF"
"2016"|"John Arne Riise"|"Chennaiyin FC"|"24/09/1980"|"185"|"DF"
"2016"|"Roberto Tigrão"|"Mumbai City FC"|"01/07/1979"|"193"|"GK"
"2016"|"Lenny Rodrigues"|"FC Pune City"|"10/05/1987"|"185"|"MF"
"2016"|"Romaric"|"NorthEast United FC"|"04/06/1983"|"187"|"MF"
"2016"|"Debabrata Roy"|"FC Goa"|"04/11/1986"|"173"|"DF"
"2016"|"Rubén"|"Delhi Dynamos FC"|"29/01/1982"|"187"|"DF"
"2016"|"Abhinas Ruidas"|"ATK"|"12/10/1994"|"173"|"MF"
"2016"|"Baljit Sahni"|"Chennaiyin FC"|"12/01/1987"|NA|"MF"
"2016"|"Gastón Sangoy"|"Mumbai City FC"|"05/10/1984"|"178"|"FW"
"2016"|"Kunal Sawant"|"Kerala Blasters"|"23/08/1986"|"188"|"GK"
"2016"|"Sereno"|"ATK"|"18/05/1985"|"188"|"DF"
"2016"|"Pratesh Shirodkar"|"FC Goa"|"19/02/1989"|"158"|"MF"
